track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
6kVuF2PYLuvl9T85XjNbaO,Lay It Down Gmix - Main,28,302186,"['1Xfmvd48oOhEWkscWyEbh9', '4yBK75WVCQXej1p04GWqxH', '2mxe0TnaNL039ysAj51xPQ']","['Lloyd', 'Jeezy', 'R. Kelly']",3,2afyAZrsG3tbJk6r5Fus3Q,TikTok Dance 2021 🔥Tiktok Hits 2021
1RGIjMFMgJxkZHMDXVYzOJ,Bartender (feat. Akon),75,238800,"['3aQeKQSyrW4qWr35idm0cy', '0z4gvV4rjIZ9wHck67ucSV']","['T-Pain', 'Akon']",2,2afyAZrsG3tbJk6r5Fus3Q,TikTok Dance 2021 🔥Tiktok Hits 2021
1dIWPXMX4kRHj6Dt2DStUQ,Chosen (feat. Ty Dolla $ign),76,161684,"['4qXC0i02bSFstECuXP2ZpL', '5LHRHt1k9lMyONurDHEdrp', '7c0XG5cIJTrrAgEC3ULPiq']","['Blxst', 'Tyga', 'Ty Dolla $ign']",3,2afyAZrsG3tbJk6r5Fus3Q,TikTok Dance 2021 🔥Tiktok Hits 2021
4QVS8YCpK71R4FsxSMCjhP,Tie Me Down (with Elley Duhé),72,218295,"['2ZRQcIgzPCVaT9XKhXZIzh', '67MNhiAICFY6Pwc2YxCO0K']","['Gryffin', 'Elley Duhé']",2,2afyAZrsG3tbJk6r5Fus3Q,TikTok Dance 2021 🔥Tiktok Hits 2021
7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,89,122772,26cMerAxjx9GedFt0lMDjm,Bella Poarch,1,2afyAZrsG3tbJk6r5Fus3Q,TikTok Dance 2021 🔥Tiktok Hits 2021
5OKHUpNLi4GEQ0aynz9VLJ,Ever After,50,231559,"['1mCY2mHctggfYiEqpCgcSz', '2ATkDceAaeLUkxPnJPHGkz']","['Bonnie Bailey', 'Eric Kupper']",2,2afyAZrsG3tbJk6r5Fus3Q,TikTok Dance 2021 🔥Tiktok Hits 2021
3J8EOeKLTLXORtWPpOU5bE,Calling My Phone,89,205458,"['6jGMq4yGs7aQzuGsMgVgZR', '4IVAbR2w4JJNJDDRFP3E83']","['Lil Tjay', '6LACK']",2,2afyAZrsG3tbJk6r5Fus3Q,TikTok Dance 2021 🔥Tiktok Hits 2021
5caZgotE4D6elZpd5S4wlX,Clap For 'Em (feat. Flo Milli & Sada Baby),70,125579,"['03T8GHHcCEtcfnjbP5aHLg', '08PvCOlef4xdOr20jFSTPd', '2JSwnwAT1BupAQkhqcRCUw']","['YungManny', 'Flo Milli', 'Sada Baby']",3,2afyAZrsG3tbJk6r5Fus3Q,TikTok Dance 2021 🔥Tiktok Hits 2021
3VqeTFIvhxu3DIe4eZVzGq,Butter,98,164441,3Nrfpe0tUJi4K4DXYWgMUX,BTS,1,2afyAZrsG3tbJk6r5Fus3Q,TikTok Dance 2021 🔥Tiktok Hits 2021
4gdx3sBwgfZTZAqxKzQVTA,Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy),40,235733,"['3aQeKQSyrW4qWr35idm0cy', '1HvYwEbfOUhm2F4g9nH0vP']","['T-Pain', 'Joey Galaxy']",2,2afyAZrsG3tbJk6r5Fus3Q,TikTok Dance 2021 🔥Tiktok Hits 2021
