playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
6qe09VXZoKHHSU54OLpWWP,TikTok OPM Trending,27,12185729846,Aui Aguilar Villanueva,312
73nHF6tcgWoRlqmzmUaXCC,TikTok OPM Faves,19,12158690477,SparkyNam,118
3QcOw7uBZpPrF43ANtan0N,Tiktok OPM 2020,54,315lwnpxz4iosmnzkww2qlxapkoa,Rose Bautista,61
1QZdvj95M7yelAuCFkoJpB,TIKTOK OPM,104,31kuhmhoj7eyqkh6fq4udc53xh7m,Ayem Geyl,33
5BATIG992NXKfiNYaB3PDW,tiktok opm mashup,84,clhornz,clhornz,19
2oDXkRIeyB237FujIyGVFX,Tiktok OPM,29,222qlawrxpls2uqvhydkctera,Michael Imperial,2
4XldU13efxFY9Vo5uQzUiI,Tiktok OPM,28,31mfxna65tdxpp5x3pwwsm2wphfq,Regie Banguit Cuda,2
2ADS4D9fT9VokFzzhdNKlY,Tiktok opm,7,barcenascielomay,Ciels,0
5kwVSj8J0p7Lqquz6aUMjJ,Tiktok OPM,3,7bg3ay9mg18maaz783m5282a2,JaDel,0
3vzOs9mL0P7DMTMn633iH2,TIKTOK OPM,3,22aqm3fyjajqeqimxiigzgfxy,Miel Baniqued,0
5w4eMtRkkf9UzN3cvxflpP,Tiktok OPM,117,heartbreakertonightonitunes,heartbreakertonightonitunes,0
48BZWZrbkKgu9LxWY1DpHn,TIKTOK OPM,6,abgcsqnjusm55t1e9vb8i3nf2,BulacanJohn,0
1y1UDRYq1xpL5hf8ZTtQQ2,Tiktok OPM,21,mariob.sg,mariob.sg,0
