playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
4ER4T6CVRbCVLrEkRUdIni,TikTok Philippines - Booty Work - Caroline (Killa West Side) - Love the way - Hold me Close,280,vhan234,Ivhan Christopher,36046
4EEjieZEdMKOYY0nnXP4re,"TIKTOK PHILIPPINES - PAJAMA PARTY, PAMPARAMPAMPAM and many more..",59,wpma2pp2dmgfkqwi65hqcqfce,Icons Feed,2309
1wooPz5bLapIEAOLZpjE1I,Tiktok Philippines 2020,42,22fx7tsa46aeh656g3g5gzgxq,AZE,2029
1rQ7PvFo0dGy4zD0yPcORr,Tiktok Philippines 2021 (Tiktok Filipino 2021),60,avl9bgq3g4pr56buit6d2djlg,Tiktok Philippines,1606
3mnjWH9jBaQx5t8x1KILEg,Tiktok Philippines - Tiktok Trending Pinas - Tiktok 2021  - Tiktok Manila,220,hysdryunxj3lq5q3pkslats5e,Blaise Face,682
2uoTjyuNDT2RyMQE4NnsTr,TikTok Philippines,119,grldsls0629,Gerald Salas,175
4pUYhenR2HZVQ3wM1BMF42,Tiktok Philippines,117,22upfsefijpaoocinz3xvm5fq,Crystal Arellano Cadungon,142
5LZguyc99TQn048bBXV8lf,TikTok Philippines,20,22mxb5m6hy4uo3pdnrve4ijgy,Micheal Angelo Sagun,36
5YfJamoZQ2K0qDb5cMK1my,Tiktok philippines,165,jedanthonyyu,Jed Anthony Delos Santos,4
3wNuPrQzZseWp3AxS0k14b,Trending Tiktok Philippines,17,12179907992,Camille Carlos Paras,3
1YrfBMnUzdh3NUyRKHOYPH,Tiktok Philippines,45,y2bjsjrx6v820gyga0v0cv5zq,Camz Ricafrente,1
3BTr7XExivAjZtdqSlYZsK,TikTok Philippines,44,12148420859,Sabrie Esmail Akmad,1
7ENsQ6UQI9Z8bvcMZaQkVN,Tiktok Philippines,66,31uthv35jvjc6saqe6c5rqy2iv3i,Calyx Xavia Regis-Manalaysay,0
1h8FdGPs1NdsSkqwX9lqxo,TikTok Philippines - Magandang Dilag - JM Bales - It's Tricky - Oh No  - One Time -  Viva la Swing,234,trg1a3r3i4dfa2xo5fa00kl7w,Егор,0
01tNYCHws3KMn18k1tA3lT,tiktok philippines,16,31m2xouyg3wppvwwrsjwdbbldzhm,Beatrice Anne Cedro,0
3axkimfKPLZpXEf5x8YCZK,Tiktok Philippines 2021 (Tiktok Filipino 2021),60,q4gy1ua9u3twcynslwddemios,Jayson,0
