track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,89,122772,26cMerAxjx9GedFt0lMDjm,Bella Poarch,1,4ER4T6CVRbCVLrEkRUdIni,TikTok Philippines - Booty Work - Caroline (Killa West Side) - Love the way - Hold me Close
1RGIjMFMgJxkZHMDXVYzOJ,Bartender (feat. Akon),75,238800,"['3aQeKQSyrW4qWr35idm0cy', '0z4gvV4rjIZ9wHck67ucSV']","['T-Pain', 'Akon']",2,4ER4T6CVRbCVLrEkRUdIni,TikTok Philippines - Booty Work - Caroline (Killa West Side) - Love the way - Hold me Close
1xNWu0d2H5RSfFul3ZsRuk,Dream Killer,34,144000,"['7BJYwgRr5jyyEzvXJx4YSd', '0iV4UAD683ZDnqSHhshF9x']","['Sebastian Rhodes', 'Holliday Howe']",2,4ER4T6CVRbCVLrEkRUdIni,TikTok Philippines - Booty Work - Caroline (Killa West Side) - Love the way - Hold me Close
3nY8AqaMNNHHLYV4380ol0,Dick (feat. Doja Cat),86,175238,"['2WgfkM8S11vg4kxLgDY3F5', '5cj0lLjcoR7YOSnhnX0Po5']","['StarBoi3', 'Doja Cat']",2,4ER4T6CVRbCVLrEkRUdIni,TikTok Philippines - Booty Work - Caroline (Killa West Side) - Love the way - Hold me Close
7ahAom5NZZVEMRynCruscZ,Ever After,59,302213,1mCY2mHctggfYiEqpCgcSz,Bonnie Bailey,1,4ER4T6CVRbCVLrEkRUdIni,TikTok Philippines - Booty Work - Caroline (Killa West Side) - Love the way - Hold me Close
5hTpBe8h35rJ67eAWHQsJx,Caroline,78,209640,3Gm5F95VdRxW3mqCn8RPBJ,Aminé,1,4ER4T6CVRbCVLrEkRUdIni,TikTok Philippines - Booty Work - Caroline (Killa West Side) - Love the way - Hold me Close
4iSWQ5Eadn5tZvvG9XNzYN,You're Perfect,69,196973,5sK8BsvyDl4TFA6KaBf8or,Charly Black,1,4ER4T6CVRbCVLrEkRUdIni,TikTok Philippines - Booty Work - Caroline (Killa West Side) - Love the way - Hold me Close
4YFv0wWsJ0C3Q48jzl9NgC,Touch It (Gun Boosted),59,178450,2OnjoU7DZQVdp2xMVmtikz,Midi Blosso,1,4ER4T6CVRbCVLrEkRUdIni,TikTok Philippines - Booty Work - Caroline (Killa West Side) - Love the way - Hold me Close
6QgkOxBXqVRjZ1JcIDbDYY,Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy),70,235306,"['3aQeKQSyrW4qWr35idm0cy', '1HvYwEbfOUhm2F4g9nH0vP']","['T-Pain', 'Joey Galaxy']",2,4ER4T6CVRbCVLrEkRUdIni,TikTok Philippines - Booty Work - Caroline (Killa West Side) - Love the way - Hold me Close
7H65Mixw2ziO0Zikh6Fe6I,Love Taker,50,174573,1mJucMwGjnCatEdVk9eedj,Alex Alexander,1,4ER4T6CVRbCVLrEkRUdIni,TikTok Philippines - Booty Work - Caroline (Killa West Side) - Love the way - Hold me Close
